Catalog ID,PlateID,Well,MW (desalted),ClogP,HBD,TPSA,RotBonds,ID,SMILES
Z382852068,1224024-R-02,F08,265.308,1.016,1,69.720,3,,Cn1c(=O)ccn(CC(=O)NC2CCCCC2)c1=O
Z409671298,1224024-R-02,F09,241.310,1.387,2,63.250,3,,CC(NC(=O)Nc1nccs1)C1CCCO1
Z409738456,1224024-R-02,F10,280.366,2.545,2,70.400,4,,Cc1cc(NC(=O)NCC(C)N2CCCC(C)C2)no1
Z642037426,1224024-R-02,F11,318.303,0.852,1,78.670,3,,Cn1c(=O)c2c(ncn2CC(O)c2cccc(F)c2)n(C)c1=O
Z383166514,1224024-R-02,G02,221.256,0.497,1,54.460,2,,CC(=O)Nc1ccc(N2CCOCC2)cn1
Z403318794,1224024-R-02,G03,264.280,-1.100,2,90.870,3,,O=C(Cn1cccnc1=O)NC1CCCCNC1=O
Z370407814,1224024-R-02,G04,328.387,-0.022,2,100.630,5,,CS(=O)(=O)NCCC(=O)Nc1ccc(N2CCOCC2)nc1
Z89286176,1224024-R-02,G05,307.346,1.905,1,71.070,6,,N#CCc1ccc(OCC(O)Cn2cnc3ccccc32)cc1
Z421736100,1224024-R-02,G06,335.401,-0.304,3,109.580,5,,CC1CN(c2ccc(CNC(=O)C(C)NC(N)=O)cn2)CC(C)O1
Z435652686,1224024-R-02,G07,207.229,2.009,2,63.250,3,,COc1ncccc1NC(=O)NC1CC1
Z446571618,1224024-R-02,G08,312.388,0.188,1,82.610,3,,CS(=O)(=O)N1CCN(C(=O)NCCc2ccccn2)CC1
Z408669522,1224024-R-02,G09,347.333,0.451,1,63.690,7,,CC(OCC(F)(F)F)C(=O)NCc1ccnc(N2CCOCC2)c1
Z447488398,1224024-R-02,G10,268.378,2.303,2,57.260,4,,CN(C)C1(CNC(=O)Nc2nccs2)CCCC1
Z364670890,1224024-R-02,G11,280.366,0.813,1,59.390,5,,Cc1cc(C)n(CC(=O)NCC(C)N2CCOCC2)n1
Z31371274,1224024-R-02,H02,312.363,2.346,1,56.510,7,,COc1ccc(COCC(O)Cn2cnc3ccccc32)cc1
Z302622750,1224024-R-02,H03,311.400,0.093,1,79.370,4,,CS(=O)(=O)N1CCCC(C(=O)NCCc2ccccn2)C1
Z369930742,1224024-R-02,H04,264.324,1.225,2,66.490,4,,CC(CNC(=O)Nc1cccnc1)N1CCOCC1
Z91123186,1224024-R-02,H05,240.322,-0.110,1,49.410,4,,Cc1csc(=O)n1CC(=O)NC(C)C1CC1
Z166715066,1224024-R-02,H06,221.256,1.162,2,63.250,3,,O=C(NCC1CCCO1)Nc1cccnc1
Z355251628,1224024-R-02,H07,328.430,1.283,1,74.770,5,,CCN(CC)S(=O)(=O)NCc1ccnc(N2CCOCC2)c1
Z237763496,1224024-R-02,H08,299.389,0.965,1,71.530,3,,CC1CN(S(=O)(=O)NCCc2ccccn2)CC(C)O1
Z403317210,1224024-R-02,H09,280.280,-1.233,3,107.610,3,,O=C(Cn1ccc(=O)[nH]c1=O)NC1CCCCNC1=O
Z437338060,1224024-R-02,H10,222.240,0.987,1,60.450,3,,COc1ncccc1NC(=O)C1CCCO1
Z316507734,1224024-R-02,H11,303.280,0.251,1,54.460,5,,O=C(CC(F)(F)F)NCc1ccc(N2CCOCC2)nc1
Z364672070,1224024-R-03,A02,281.351,-0.028,1,67.600,5,,Cc1noc(C)c1CC(=O)NCC(C)N1CCOCC1
Z412133250,1224024-R-03,A03,284.378,2.161,2,76.140,4,,CC(C)c1nnc(NC(=O)NC(C)C2CCCO2)s1
Z371277990,1224024-R-03,A04,343.399,1.363,1,97.830,6,,COCCOc1ccc(NC(=O)C2CCCN2S(C)(=O)=O)cn1
Z369930722,1224024-R-03,A05,268.312,0.943,2,79.630,4,,Cc1cc(NC(=O)NCC(C)N2CCOCC2)no1
Z505809500,1224024-R-03,A06,248.281,0.720,3,83.120,2,,O=C(Nc1ccncc1)NC1CCCCNC1=O
Z393053398,1224024-R-03,A07,281.308,0.142,1,78.950,4,,CC(NC(=O)Cn1ccc(=O)n(C)c1=O)C1CCCO1
Z287932328,1224024-R-03,A08,345.317,-0.997,1,69.720,4,,CC(=O)N1CCC(NC(=O)Cn2cccc(C(F)(F)F)c2=O)CC1
Z412133862,1224024-R-03,A09,284.378,1.211,3,87.140,3,,CC(C)c1nnc(NC(=O)NC2CCC(O)CC2)s1
Z333674906,1224024-R-03,A10,334.413,-0.019,2,83.560,6,,CC(=O)NC(C(=O)NCc1cccnc1N1CCOCC1)C(C)C
Z435975478,1224024-R-03,A11,322.403,0.558,3,86.720,5,,CC(CO)NC(=O)NCc1ccc(N2CC(C)OC(C)C2)nc1
Z147199882,1224024-R-03,B02,227.283,-0.453,2,85.080,4,,CC(C)C(=O)Nc1nc(CC(N)=O)cs1
Z362012176,1224024-R-03,B03,296.365,1.901,2,79.630,4,,Cc1cc(NC(=O)NCC(C)N2CC(C)OC(C)C2)no1
Z408669562,1224024-R-03,B04,295.400,0.359,1,54.460,5,,CSC(C)C(=O)NCc1ccnc(N2CCOCC2)c1
Z166715120,1224024-R-03,B05,255.294,-0.650,2,88.160,2,,O=C(Nc1cccnc1)NC1CCS(=O)(=O)C1
Z434561618,1224024-R-03,B06,334.413,2.205,2,75.720,4,,CC1CN(c2ccc(NC(=O)NCC3CCCO3)cn2)CC(C)O1
Z300623166,1224024-R-03,B07,271.336,-0.073,1,71.530,3,,O=S(=O)(NCCc1cccnc1)N1CCOCC1
Z453669488,1224024-R-03,B08,307.388,1.988,1,63.690,6,,COCCCC(=O)Nc1ccc(N2CC(C)OC(C)C2)nc1
Z31371264,1224024-R-03,B09,282.337,2.427,1,47.280,6,,OC(COCc1ccccc1)Cn1cnc2ccccc21
Z433967876,1224024-R-03,B10,292.377,3.235,2,66.490,5,,COc1ccc(NC(=O)NCC2(N(C)C)CCCC2)cn1
Z100849922,1224024-R-03,B11,237.301,1.889,1,72.700,3,,CC1CCCC(NC(=O)Cn2cnnn2)C1C
Z558591392,1224024-R-03,C02,260.335,1.724,2,57.260,2,,O=C(Nc1cccnc1)NC1CCN2CCCCC12
Z402470160,1224024-R-03,C03,296.365,1.871,2,79.630,5,,CCC(C)(CNC(=O)Nc1cc(C)on1)N1CCOCC1
Z51819378,1224024-R-03,C04,236.267,0.093,1,58.640,4,,O=C(Cn1ccccc1=O)NCC1CCCO1
Z505807778,1224024-R-03,C05,254.309,0.636,3,83.120,2,,O=C(Nc1nccs1)NC1CCCCNC1=O
Z505852250,1224024-R-03,C06,269.323,0.482,3,96.010,2,,Cc1nnc(NC(=O)NC2CCCCNC2=O)s1
Z505809440,1224024-R-03,C07,252.270,0.438,3,96.260,2,,Cc1cc(NC(=O)NC2CCCCNC2=O)no1
Z356368708,1224024-R-03,C08,330.382,2.332,1,93.510,4,,CC1CCC(NC(=O)Cn2c(=O)c(C#N)cn(C3CC3)c2=O)CC1
Z254724148,1224024-R-03,C09,338.402,-0.527,1,83.470,7,,COCCn1nc(C(=O)NCCN2CC(C)OC(C)C2)ccc1=O
